Compound,Date,Negative,Neutral,Positive,Tweets Ago,User,User Number
0.8176,Sat Dec 01 20:03:09 +0000 2018,0.746,0.0,0.254,1,BBC,0
0.0,Sat Dec 01 19:06:04 +0000 2018,1.0,0.0,0.0,2,BBC,0
0.0,Sat Dec 01 17:54:03 +0000 2018,1.0,0.0,0.0,3,BBC,0
0.5848,Sat Dec 01 16:56:01 +0000 2018,0.704,0.0,0.296,4,BBC,0
-0.6249,Sat Dec 01 16:10:06 +0000 2018,0.83,0.17,0.0,5,BBC,0
0.0,Sat Dec 01 16:09:16 +0000 2018,1.0,0.0,0.0,6,BBC,0
0.0,Sat Dec 01 16:09:10 +0000 2018,1.0,0.0,0.0,7,BBC,0
0.0,Sat Dec 01 15:06:04 +0000 2018,1.0,0.0,0.0,8,BBC,0
0.646,Sat Dec 01 15:03:05 +0000 2018,0.621,0.069,0.31,9,BBC,0
-0.2263,Sat Dec 01 14:13:05 +0000 2018,0.786,0.127,0.087,10,BBC,0
-0.5719,Sat Dec 01 13:06:04 +0000 2018,0.448,0.552,0.0,11,BBC,0
0.0,Sat Dec 01 12:05:00 +0000 2018,1.0,0.0,0.0,12,BBC,0
0.6369,Sat Dec 01 11:08:21 +0000 2018,0.756,0.0,0.244,13,BBC,0
0.6124,Sat Dec 01 11:06:10 +0000 2018,0.556,0.157,0.288,14,BBC,0
0.34,Sat Dec 01 10:04:06 +0000 2018,0.87,0.0,0.13,15,BBC,0
-0.5574,Sat Dec 01 09:36:43 +0000 2018,0.841,0.159,0.0,16,BBC,0
0.631,Sat Dec 01 09:04:06 +0000 2018,0.787,0.0,0.213,17,BBC,0
-0.8316,Fri Nov 30 19:03:01 +0000 2018,0.513,0.41,0.077,18,BBC,0
0.0,Fri Nov 30 18:02:06 +0000 2018,1.0,0.0,0.0,19,BBC,0
-0.34,Fri Nov 30 17:02:04 +0000 2018,0.678,0.212,0.11,20,BBC,0
0.8176,Sat Dec 01 20:03:09 +0000 2018,0.746,0.0,0.254,21,BBC,0
0.0,Sat Dec 01 19:06:04 +0000 2018,1.0,0.0,0.0,22,BBC,0
0.0,Sat Dec 01 17:54:03 +0000 2018,1.0,0.0,0.0,23,BBC,0
0.5848,Sat Dec 01 16:56:01 +0000 2018,0.704,0.0,0.296,24,BBC,0
-0.6249,Sat Dec 01 16:10:06 +0000 2018,0.83,0.17,0.0,25,BBC,0
0.0,Sat Dec 01 16:09:16 +0000 2018,1.0,0.0,0.0,26,BBC,0
0.0,Sat Dec 01 16:09:10 +0000 2018,1.0,0.0,0.0,27,BBC,0
0.0,Sat Dec 01 15:06:04 +0000 2018,1.0,0.0,0.0,28,BBC,0
0.646,Sat Dec 01 15:03:05 +0000 2018,0.621,0.069,0.31,29,BBC,0
-0.2263,Sat Dec 01 14:13:05 +0000 2018,0.786,0.127,0.087,30,BBC,0
-0.5719,Sat Dec 01 13:06:04 +0000 2018,0.448,0.552,0.0,31,BBC,0
0.0,Sat Dec 01 12:05:00 +0000 2018,1.0,0.0,0.0,32,BBC,0
0.6369,Sat Dec 01 11:08:21 +0000 2018,0.756,0.0,0.244,33,BBC,0
0.6124,Sat Dec 01 11:06:10 +0000 2018,0.556,0.157,0.288,34,BBC,0
0.34,Sat Dec 01 10:04:06 +0000 2018,0.87,0.0,0.13,35,BBC,0
-0.5574,Sat Dec 01 09:36:43 +0000 2018,0.841,0.159,0.0,36,BBC,0
0.631,Sat Dec 01 09:04:06 +0000 2018,0.787,0.0,0.213,37,BBC,0
-0.8316,Fri Nov 30 19:03:01 +0000 2018,0.513,0.41,0.077,38,BBC,0
0.0,Fri Nov 30 18:02:06 +0000 2018,1.0,0.0,0.0,39,BBC,0
-0.34,Fri Nov 30 17:02:04 +0000 2018,0.678,0.212,0.11,40,BBC,0
0.7717,Fri Nov 30 15:38:23 +0000 2018,0.729,0.0,0.271,41,BBC,0
0.4019,Fri Nov 30 14:00:22 +0000 2018,0.881,0.0,0.119,42,BBC,0
0.0,Fri Nov 30 13:04:04 +0000 2018,1.0,0.0,0.0,43,BBC,0
0.0,Fri Nov 30 12:02:01 +0000 2018,1.0,0.0,0.0,44,BBC,0
0.6713,Fri Nov 30 09:26:46 +0000 2018,0.8,0.0,0.2,45,BBC,0
0.6597,Fri Nov 30 08:55:08 +0000 2018,0.69,0.0,0.31,46,BBC,0
0.5267,Fri Nov 30 08:11:07 +0000 2018,0.861,0.0,0.139,47,BBC,0
0.0,Fri Nov 30 07:15:01 +0000 2018,1.0,0.0,0.0,48,BBC,0
-0.25,Thu Nov 29 19:11:04 +0000 2018,0.484,0.298,0.218,49,BBC,0
0.0,Thu Nov 29 17:02:02 +0000 2018,1.0,0.0,0.0,50,BBC,0
-0.0772,Thu Nov 29 14:03:04 +0000 2018,0.822,0.096,0.082,51,BBC,0
